Board	Ref.	Pos X	Pos Y	Pos Z	Rotation	Part Number	Place Before	Gluing	Skip	Main Mark	Sub Mark	Sub Mark1	Sub Mark2	Carry Mode	Stack Target	Memo	Tag	Assign
1	C211	52.151	40.220	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C211	52.151	55.350	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C211	52.151	70.480	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C211	70.281	40.220	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C211	70.281	55.350	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C211	70.281	70.480	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C211	88.411	40.220	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C211	88.411	55.350	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C211	88.411	70.480	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C211	106.541	40.220	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C211	106.541	55.350	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C211	106.541	70.480	0.000	0.00	1BB01T0512		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C212	53.061	44.271	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C212	53.061	59.401	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C212	53.061	74.531	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C212	71.191	44.271	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C212	71.191	59.401	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C212	71.191	74.531	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C212	89.321	44.271	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C212	89.321	59.401	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C212	89.321	74.531	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C212	107.451	44.271	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C212	107.451	59.401	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C212	107.451	74.531	0.000	90.00	1BB01T0576		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C213	57.251	43.049	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C213	57.251	58.179	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
