Designator;Library;Part Name;X;Y;Rotation;Z;Pattern;Head;Slot;NHP;NCP;Nozzle;Turn;TS;MS;PR;MArea;Skip
R209;Telit;1AA01T0501;108.855;85.89;-90;0;4;3;30005L;1;321;226;5;1;1;1000;1;
R209;Telit;1AA01T0501;86.725;85.89;-90;0;5;3;30005L;2;322;226;4;7;15;1000;1;
R209;Telit;1AA01T0501;64.595;85.89;-90;0;6;3;30005L;10;312;226;4;10;13;1000;1;
R210;Telit;1AA01T0501;62.545;36.11;90;0;1;3;30005L;2;322;226;1;7;11;1000;1;
R210;Telit;1AA01T0501;84.675;36.11;90;0;2;3;30005L;4;324;226;1;5;10;1000;1;
R210;Telit;1AA01T0501;106.805;36.11;90;0;3;3;30005L;12;314;226;1;12;5;1000;1;
R210;Telit;1AA01T0501;109.455;85.89;-90;0;4;3;30005L;2;322;226;5;2;2;1000;1;
R210;Telit;1AA01T0501;87.325;85.89;-90;0;5;3;30005L;1;321;226;4;8;16;1000;1;
R210;Telit;1AA01T0501;65.195;85.89;-90;0;6;3;30005L;9;311;226;4;9;14;1000;1;
R301;Telit;1AA01T0590;55.645;41.985;90;0;1;1;10008L;12;114;226;3;9;2;1000;1;
R301;Telit;1AA01T0590;77.775;41.985;90;0;2;1;10008L;13;115;226;3;10;5;1000;1;
R301;Telit;1AA01T0590;99.905;41.985;90;0;3;1;10008L;16;118;226;1;4;7;1000;1;
R301;Telit;1AA01T0590;116.355;80.015;-90;0;4;1;10008L;7;127;226;3;2;12;1000;1;
R301;Telit;1AA01T0590;94.225;80.015;-90;0;5;1;10008L;3;123;226;4;3;2;1000;1;
R301;Telit;1AA01T0590;72.095;80.015;-90;0;6;1;10008L;1;121;226;4;1;3;1000;1;
R302;Telit;1AA01T0590;55.045;41.985;90;0;1;1;10008L;10;112;226;3;7;7;1000;1;
R302;Telit;1AA01T0590;77.175;41.985;90;0;2;1;10008L;1;121;226;3;5;15;1000;1;
R302;Telit;1AA01T0590;99.305;41.985;90;0;3;1;10008L;15;117;226;3;12;6;1000;1;
R302;Telit;1AA01T0590;116.955;80.015;-90;0;4;1;10008L;8;128;226;2;4;8;1000;1;
R302;Telit;1AA01T0590;94.825;80.015;-90;0;5;1;10008L;5;125;226;4;5;1;1000;1;
R302;Telit;1AA01T0590;72.695;80.015;-90;0;6;1;10008L;2;122;226;4;2;6;1000;1;
R303;Telit;1AA01T0590;54.445;41.985;90;0;1;1;10008L;11;113;226;3;8;4;1000;1;
R303;Telit;1AA01T0590;76.575;41.985;90;0;2;1;10008L;14;116;226;3;11;1;1000;1;
R303;Telit;1AA01T0590;98.705;41.985;90;0;3;1;10008L;16;118;226;3;13;3;1000;1;
R303;Telit;1AA01T0590;117.555;80.015;-90;0;4;1;10008L;6;126;226;4;6;4;1000;1;
R303;Telit;1AA01T0590;95.425;80.015;-90;0;5;1;10008L;4;124;226;4;4;5;1000;1;
R303;Telit;1AA01T0590;73.295;80.015;-90;0;6;1;10008L;3;123;226;3;4;11;1000;1;
R304;Telit;1AA01T0590;54.145;45.01;0;0;1;1;10008L;9;111;226;3;6;14;1000;1;
R304;Telit;1AA01T0590;76.275;45.01;0;0;2;1;10008L;13;115;226;2;2;5;1000;1;
R304;Telit;1AA01T0590;98.405;45.01;0;0;3;1;10008L;16;118;226;2;5;6;1000;1;
R304;Telit;1AA01T0590;117.855;76.99;180;0;4;1;10008L;8;128;226;3;1;10;1000;1;
R304;Telit;1AA01T0590;95.725;76.99;180;0;5;1;10008L;8;128;226;1;1;9;1000;1;
R304;Telit;1AA01T0590;73.595;76.99;180;0;6;1;10008L;4;124;226;3;3;9;1000;1;
R305;Telit;1AA01T0501;55.67;45.01;180;0;1;3;30005L;9;311;226;2;9;15;1000;1;
R305;Telit;1AA01T0501;77.8;45.01;180;0;2;3;30005L;13;315;226;2;13;6;1000;1;
R305;Telit;1AA01T0501;99.93;45.01;180;0;3;3;30005L;8;328;226;1;1;16;1000;1;
R305;Telit;1AA01T0501;116.33;76.99;0;0;4;3;30005L;8;328;226;2;1;14;1000;1;
R305;Telit;1AA01T0501;94.2;76.99;0;0;5;3;30005L;12;314;226;3;12;13;1000;1;
R305;Telit;1AA01T0501;72.07;76.99;0;0;6;3;30005L;4;324;226;2;5;7;1000;1;
R306;Telit;1AA01T0598;55.745;40.16;-90;0;1;1;10006L;11;113;226;1;3;6;1000;1;
R306;Telit;1AA01T0598;77.875;40.16;-90;0;2;1;10006L;12;114;226;1;4;3;1000;1;
R306;Telit;1AA01T0598;100.005;40.16;-90;0;3;1;10006L;3;123;226;2;3;9;1000;1;
R306;Telit;1AA01T0598;116.255;81.84;90;0;4;1;10006L;4;124;226;2;4;12;1000;1;
R306;Telit;1AA01T0598;94.125;81.84;90;0;5;1;10006L;3;123;226;1;2;14;1000;1;
R306;Telit;1AA01T0598;71.995;81.84;90;0;6;1;10006L;4;124;226;1;1;12;1000;1;
SO301;Telit;1FF0400157IPX;59.57;59.047;-90;0;1;7;70005L;8;713;240;6;2;2;1000;1;
SO301;Telit;1FF0400157IPX;81.7;59.047;-90;0;2;7;70005L;8;713;240;2;2;2;1000;1;
SO301;Telit;1FF0400157IPX;103.83;59.047;-90;0;3;7;70005L;8;713;240;3;2;2;1000;1;
SO301;Telit;1FF0400157IPX;112.43;62.953;90;0;4;7;70005L;4;723;240;3;1;1;1000;1;
SO301;Telit;1FF0400157IPX;90.3;62.953;90;0;5;7;70005L;4;723;240;2;1;1;1000;1;
SO301;Telit;1FF0400157IPX;68.17;62.953;90;0;6;7;70005L;4;723;240;6;1;1;1000;1;
SO302;Telit;1FF0400157IPX;68.17;59.047;-90;0;1;7;70005L;8;713;240;5;2;2;1000;1;
SO302;Telit;1FF0400157IPX;90.3;59.047;-90;0;2;7;70005L;8;713;240;1;2;2;1000;1;
SO302;Telit;1FF0400157IPX;112.43;59.047;-90;0;3;7;70005L;8;713;240;4;2;2;1000;1;
SO302;Telit;1FF0400157IPX;103.83;62.953;90;0;4;7;70005L;4;723;240;4;1;1;1000;1;
SO302;Telit;1FF0400157IPX;81.7;62.953;90;0;5;7;70005L;4;723;240;1;1;1;1000;1;
SO302;Telit;1FF0400157IPX;59.57;62.953;90;0;6;7;70005L;4;723;240;5;1;1;1000;1;
U101;Telit;3990402300;63.87;47.185;90;0;1;8;81004;1;811;1004;4;1;1;1000;1;
U101;Telit;3990402300;86;47.185;90;0;2;8;81004;1;811;1004;5;1;1;1000;1;
